Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
324,1,251.88,2,2,4,224,At Risk
263,1,45.09,3,2,1,321,Potential Loyalists
495,1,50.41,1,2,1,121,At Risk
182,1,136.49,3,2,3,323,Potential Loyalists
151,1,120.29,4,2,3,423,Potential Loyalists
237,1,732.68,3,2,4,324,Potential Loyalists
248,1,127.53,3,2,3,323,Potential Loyalists
158,1,669.0,4,2,4,424,Potential Loyalists
134,1,147.78,4,2,3,423,Potential Loyalists
66,1,52.32,4,2,1,421,Potential Loyalists
424,1,108.1,1,2,3,123,At Risk
55,1,151.83,4,2,3,423,Potential Loyalists
149,1,84.57,4,2,2,422,Potential Loyalists
106,1,35.84,4,2,1,421,Potential Loyalists
328,1,87.64,2,2,2,222,At Risk
440,1,1327.54,1,2,4,124,At Risk
107,1,38.14,4,2,1,421,Potential Loyalists
446,1,71.14,1,2,2,122,At Risk
126,1,133.58,4,2,3,423,Potential Loyalists
86,1,118.73,4,2,3,423,Potential Loyalists
61,1,45.78,4,2,1,421,Potential Loyalists
253,1,309.16,3,2,4,324,Potential Loyalists
83,1,182.11,4,2,3,423,Potential Loyalists
592,1,115.66,1,2,3,123,At Risk
333,1,97.26,2,2,2,222,At Risk
261,1,65.62,3,2,2,322,Potential Loyalists
52,1,51.6,4,2,1,421,Potential Loyalists
336,1,83.22,2,2,2,222,At Risk
232,1,37.52,3,2,1,321,Potential Loyalists
107,1,120.98,4,2,3,423,Potential Loyalists
328,1,33.34,2,2,1,221,At Risk
236,1,60.1,3,2,1,321,Potential Loyalists
105,1,224.43,4,2,4,424,Potential Loyalists
283,1,148.15,2,2,3,223,At Risk
245,1,135.49,3,2,3,323,Potential Loyalists
198,1,162.83,3,2,3,323,Potential Loyalists
80,1,56.59,4,2,1,421,Potential Loyalists
496,1,203.83,1,2,4,124,At Risk
275,1,35.0,2,2,1,221,At Risk
69,1,307.11,4,2,4,424,Potential Loyalists
577,1,217.72,1,2,4,124,At Risk
339,1,369.01,2,2,4,224,At Risk
504,1,242.24,1,2,4,124,At Risk
264,1,36.69,3,2,1,321,Potential Loyalists
596,1,3782.19,1,2,4,124,At Risk
155,1,113.46,4,2,3,423,Potential Loyalists
76,1,125.33,4,2,3,423,Potential Loyalists
121,1,367.08,4,2,4,424,Potential Loyalists
412,1,125.21,1,2,3,123,At Risk
329,1,59.69,2,2,1,221,At Risk
400,1,73.34,1,2,2,122,At Risk
398,1,56.78,2,2,1,221,At Risk
565,1,346.38,1,2,4,124,At Risk
396,1,49.82,2,2,1,221,At Risk
149,1,102.05,4,2,2,422,Potential Loyalists
584,1,65.77,1,2,2,122,At Risk
199,1,108.16,3,2,3,323,Potential Loyalists
68,1,42.77,4,2,1,421,Potential Loyalists
273,1,144.14,2,2,3,223,At Risk
57,1,65.01,4,2,2,422,Potential Loyalists
461,1,40.77,1,2,1,121,At Risk
197,1,79.38,3,2,2,322,Potential Loyalists
129,1,441.11,4,2,4,424,Potential Loyalists
88,1,60.56,4,2,1,421,Potential Loyalists
387,1,163.53,2,2,3,223,At Risk
178,1,1114.03,3,2,4,324,Potential Loyalists
210,1,89.96,3,2,2,322,Potential Loyalists
486,1,126.29,1,2,3,123,At Risk
73,1,355.29,4,2,4,424,Potential Loyalists
265,1,75.63,3,2,2,322,Potential Loyalists
420,1,112.42,1,2,3,123,At Risk
296,1,144.47,2,2,3,223,At Risk
174,1,87.94,3,2,2,322,Potential Loyalists
76,1,279.91,4,2,4,424,Potential Loyalists
82,1,51.92,4,2,1,421,Potential Loyalists
231,1,489.09,3,2,4,324,Potential Loyalists
545,1,26.86,1,2,1,121,At Risk
327,1,133.34,2,2,3,223,At Risk
182,1,423.47,3,2,4,324,Potential Loyalists
546,1,59.510000000000005,1,2,1,121,At Risk
265,1,170.71,3,2,3,323,Potential Loyalists
261,1,84.14,3,2,2,322,Potential Loyalists
64,1,118.98,4,2,3,423,Potential Loyalists
130,1,51.13,4,2,1,421,Potential Loyalists
280,1,50.34,2,2,1,221,At Risk
612,1,45.95,1,2,1,121,At Risk
376,1,285.78,2,2,4,224,At Risk
68,1,145.41,4,2,3,423,Potential Loyalists
307,1,41.11,2,2,1,221,At Risk
246,1,166.47,3,2,3,323,Potential Loyalists
328,1,69.59,2,2,2,222,At Risk
371,1,69.14,2,2,2,222,At Risk
59,1,68.43,4,2,2,422,Potential Loyalists
624,1,91.84,1,2,2,122,At Risk
114,1,47.64,4,2,1,421,Potential Loyalists
458,1,170.44,1,2,3,123,At Risk
137,1,37.23,4,2,1,421,Potential Loyalists
74,1,223.54,4,2,4,424,Potential Loyalists
225,1,140.56,3,2,3,323,Potential Loyalists
327,1,29.44,2,2,1,221,At Risk
383,2,142.28,2,4,3,243,Others
433,1,61.69,1,2,1,121,At Risk
233,1,216.68,3,2,4,324,Potential Loyalists
126,1,385.16,4,2,4,424,Potential Loyalists
620,1,284.06,1,2,4,124,At Risk
198,1,227.47,3,2,4,324,Potential Loyalists
345,1,404.05,2,2,4,224,At Risk
521,1,178.52,1,2,3,123,At Risk
377,1,76.08,2,2,2,222,At Risk
464,2,451.34,1,4,4,144,Others
285,1,137.08,2,2,3,223,At Risk
519,1,20.28,1,2,1,121,At Risk
260,1,77.98,3,2,2,322,Potential Loyalists
304,1,96.8,2,2,2,222,At Risk
188,1,89.36,3,2,2,322,Potential Loyalists
477,1,122.76,1,2,3,123,At Risk
76,2,507.94,4,4,4,444,Champions
369,1,413.74,2,2,4,224,At Risk
487,2,626.1800000000001,1,4,4,144,Others
589,1,840.26,1,2,4,124,At Risk
76,1,61.19,4,2,1,421,Potential Loyalists
167,1,60.39,3,2,1,321,Potential Loyalists
411,1,103.55,1,2,2,122,At Risk
372,1,200.93,2,2,4,224,At Risk
399,1,122.32,1,2,3,123,At Risk
476,1,55.0,1,2,1,121,At Risk
440,1,669.42,1,2,4,124,At Risk
255,1,335.47,3,2,4,324,Potential Loyalists
393,1,57.5,2,2,1,221,At Risk
232,1,448.39,3,2,4,324,Potential Loyalists
85,1,63.06,4,2,1,421,Potential Loyalists
328,1,63.38,2,2,2,222,At Risk
183,1,156.8,3,2,3,323,Potential Loyalists
453,1,74.16,1,2,2,122,At Risk
245,1,49.53,3,2,1,321,Potential Loyalists
336,1,86.2,2,2,2,222,At Risk
231,1,58.01,3,2,1,321,Potential Loyalists
260,1,38.01,3,2,1,321,Potential Loyalists
477,1,170.88,1,2,3,123,At Risk
72,1,196.36,4,2,4,424,Potential Loyalists
413,1,22.68,1,2,1,121,At Risk
157,1,91.89,4,2,2,422,Potential Loyalists
65,1,69.7,4,2,2,422,Potential Loyalists
593,2,278.93,1,4,4,144,Others
555,1,68.9,1,2,2,122,At Risk
286,1,154.22,2,2,3,223,At Risk
584,1,67.46,1,2,2,122,At Risk
447,1,45.0,1,2,1,121,At Risk
617,1,30.81,1,2,1,121,At Risk
501,1,81.89,1,2,2,122,At Risk
70,1,85.79,4,2,2,422,Potential Loyalists
105,1,238.21,4,2,4,424,Potential Loyalists
167,1,227.4,3,2,4,324,Potential Loyalists
232,2,364.67,3,4,4,344,Loyal Customers
229,1,48.08,3,2,1,321,Potential Loyalists
375,1,72.38,2,2,2,222,At Risk
165,1,109.0,3,2,3,323,Potential Loyalists
175,1,114.11,3,2,3,323,Potential Loyalists
109,1,79.6,4,2,2,422,Potential Loyalists
114,1,38.86,4,2,1,421,Potential Loyalists
205,1,116.61,3,2,3,323,Potential Loyalists
172,1,68.29,3,2,2,322,Potential Loyalists
244,1,30.84,3,2,1,321,Potential Loyalists
66,1,235.06,4,2,4,424,Potential Loyalists
395,1,46.64,2,2,1,221,At Risk
497,1,66.01,1,2,2,122,At Risk
328,1,64.23,2,2,2,222,At Risk
188,1,119.84,3,2,3,323,Potential Loyalists
79,1,191.28,4,2,4,424,Potential Loyalists
261,1,38.89,3,2,1,321,Potential Loyalists
180,1,85.84,3,2,2,322,Potential Loyalists
392,1,72.42,2,2,2,222,At Risk
173,1,35.87,3,2,1,321,Potential Loyalists
516,1,44.1,1,2,1,121,At Risk
416,2,307.8,1,4,4,144,Others
271,3,273.7,2,4,4,244,Others
216,1,108.41,3,2,3,323,Potential Loyalists
315,1,780.05,2,2,4,224,At Risk
489,1,27.59,1,2,1,121,At Risk
596,1,46.11,1,2,1,121,At Risk
600,1,93.03999999999999,1,2,2,122,At Risk
493,1,423.19,1,2,4,124,At Risk
377,1,121.09,2,2,3,223,At Risk
93,1,306.12,4,2,4,424,Potential Loyalists
622,1,163.69,1,2,3,123,At Risk
234,1,46.58,3,2,1,321,Potential Loyalists
169,1,596.86,3,2,4,324,Potential Loyalists
339,1,106.39,2,2,2,222,At Risk
108,1,27.68,4,2,1,421,Potential Loyalists
471,1,117.94,1,2,3,123,At Risk
191,1,202.34,3,2,4,324,Potential Loyalists
352,1,146.71,2,2,3,223,At Risk
167,1,66.51,3,2,2,322,Potential Loyalists
146,1,159.54,4,2,3,423,Potential Loyalists
464,1,92.67,1,2,2,122,At Risk
95,1,94.74,4,2,2,422,Potential Loyalists
475,1,88.65,1,2,2,122,At Risk
