Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
131,1,91.52999999999999,4,2,2,422,Potential Loyalists
309,1,35.0,2,2,1,221,At Risk
185,1,164.66,3,2,3,323,Potential Loyalists
293,2,122.57,2,4,3,243,Others
238,1,165.8,3,2,3,323,Potential Loyalists
216,1,70.89,3,2,2,322,Potential Loyalists
622,1,405.83,1,2,4,124,At Risk
204,1,75.59,3,2,2,322,Potential Loyalists
193,1,94.43,3,2,2,322,Potential Loyalists
195,1,134.12,3,2,3,323,Potential Loyalists
281,1,258.01,2,2,4,224,At Risk
288,1,73.03,2,2,2,222,At Risk
383,1,997.54,2,2,4,224,At Risk
274,1,31.94,2,2,1,221,At Risk
560,1,74.49,1,2,2,122,At Risk
523,1,93.48,1,2,2,122,At Risk
109,1,79.14,4,2,2,422,Potential Loyalists
466,1,74.16,1,2,2,122,At Risk
95,1,1168.71,4,2,4,424,Potential Loyalists
220,1,224.97,3,2,4,324,Potential Loyalists
